Tên sản phẩm,Alias,Đơn vị,Giá bán
Gạo ST25 đặc sản Sóc Trăng,"gạo st, gạo sóc trăng, st25, st sóc trăng, sóc trăng 25",kg,33000
Gạo Tám Thái Sen,"gạo tám thái sen, tám thái sen, gạo thái sen, tám sen, gạo tám sen",kg,22000
Gạo Tám Lài Campuchia,"gạo tám lài, gạo lài, gạo campuchia, tám lài campuchia, lài campuchia",kg,28000
Tạo Tám Nhật,"gạo tám nhật, tám nhật, gạo nhật, tám nhật bản, gạo nhật bản",kg,22000
Gạo Tám Thái miền nam,"gạo tám thái miền nam, tám thái miền nam, gạo tám thái nam, tám thái nam, gạo thái miền nam",kg,20000
Gạo Tấm,"gạo tấm, tấm gạo, tấm",kg,18000
Gạo Tám Thơm Hải Hậu,"gạo tám thơm, tám thơm, gạo hải hậu, tám thơm hải hậu, gạo tám hải hậu",kg,22000
Gạo Séng Cù đặc sản Mường Khương,"gạo séng cù, séng cù, gạo mường khương, séng cù mường khương, gạo séng cù đặc sản",kg,37000
Gạo Khang dân,"gạo khang dân, khang dân, gạo khang dân bắc, gạo khang dân miền bắc, khang dân gạo",kg,18000
Gạo Tám Lào em bé,"gạo tám lào, tám lào, gạo lào, tám lào em bé, gạo em bé",kg,24000
Gạo Bắc Hương Hải Hậu quê,"gạo bắc hương hải hậu, bắc hương hải hậu, gạo bắc hương quê, bắc hương quê, gạo hải hậu, bắc hương hải hậu quê",kg,22000
Gạo Bắc Hương miền nam,"gạo bắc hương miền nam, bắc hương miền nam, gạo bắc hương nam, bắc hương nam, gạo bắc hương miền nam",kg,20000
Gạo Dẻo Min,"gạo dẻo, gạo dẻo min, dẻo min, gạo min, dẻo min gạo",kg,18000
Gạo Đài Thơm,"gạo đài thơm, đài thơm, gạo thơm, đài thơm gạo, gạo thơm đài",kg,20000
Gạo Nếp Dài miền nam,"gạo nếp dài, nếp dài, gạo miền nam, nếp dài miền nam, gạo nếp miền nam",kg,20000
Gạo Nếp Nương đặc sản,"gạo nếp nương, nếp nương, gạo nương, nếp nương đặc sản, gạo nếp đặc sản",kg,40000
Gạo Nếp Nhung,"gạo nếp nhung, nếp nhung, gạo nếp, nếp nhung gạo, gạo nhung",kg,33000
Gạo Nếp Cái hoa vàng,"gạo nếp cái, nếp cái hoa vàng, gạo hoa vàng, nếp cái, gạo nếp cái hoa vàng",kg,33000
Gạo Lứt thường,"gạo lứt, lứt, gạo lứt thường, lứt thường, gạo lứt trắng",kg,30000
Gạo Lứt đen,"gạo lứt đen, lứt đen, gạo đen, lứt đen gạo, gạo lứt màu đen",kg,35000
Gạo Lứt Nương đỏ dẻo,"gạo lứt nương, lứt nương đỏ, gạo lứt đỏ, lứt đỏ dẻo, gạo lứt nương đỏ",kg,35000
Gạo Lứt đỏ huyết rồng,"gạo lứt đỏ, lứt đỏ, gạo huyết rồng, lứt huyết rồng, gạo lứt huyết rồng",kg,30000
